sentence	pronoun	candidates	label	correct	right	left	split
Dan modified Harry's car because he asked politely.	he	['Dan' 'Harry']	1	Harry asked politely.	asked politely.	Dan modified Harry's car because	train
Sarah went to Kelly's house because she was leaving from work.	she	['Sarah' 'Kelly']	0	Sarah was leaving from work.	was leaving from work.	Sarah went to Kelly's house because	train
Sarah went to Kelly's house because she was home.	she	['Sarah' 'Kelly']	1	Kelly was home.	was home.	Sarah went to Kelly's house because	train
Ken scanned photos for Neil since he owned a scanner.	he	['Ken' 'Neil']	0	Ken owned a scanner.	owned a scanner.	Ken scanned photos for Neil since	train
Ken scanned photos for Neil since he needed to save his documents.	he	['Ken' 'Neil']	1	Neil needed to save his documents.	needed to save his documents.	Ken scanned photos for Neil since	train
James cheated off Henry's test, and the Teacher told him.	him	['James' 'Henry']	1	Henry .	.	James cheated off Henry's test, and the Teacher told	train
James cheated off Henry's test, and the Teacher failed him.	him	['James' 'Henry']	0	James .	.	James cheated off Henry's test, and the Teacher failed	train
Jim went to Hal's house, and walked his dog.	his	['Jim' 'Hal']	1	Hal dog.	dog.	Jim went to Hal's house, and walked	train
Jim went to Hal's house, and brought his dog.	his	['Jim' 'Hal']	0	Jim dog.	dog.	Jim went to Hal's house, and brought	train
Jackie gave Beth a present because it was her birthday.	her	['Jackie' 'Beth']	1	Beth birthday.	birthday.	Jackie gave Beth a present because it was	train
Jackie gave Beth a present because it was her friend's birthday.	her	['Jackie' 'Beth']	0	Jackie friend's birthday.	friend's birthday.	Jackie gave Beth a present because it was	train
Burt installed Joey's software, and he was appreciative.	he	['Burt' 'Joey']	1	Joey was appreciative.	was appreciative.	Burt installed Joey's software, and	train
Burt installed Joey's software, and he installed his hardware too.	he	['Burt' 'Joey']	0	Burt installed his hardware too.	installed his hardware too.	Burt installed Joey's software, and	train
Adam defeated Brandon in a fight because he was stronger.	he	['Adam' 'Brandon']	0	Adam was stronger.	was stronger.	Adam defeated Brandon in a fight because	train
Adam defeated Brandon in a fight because he was weaker.	he	['Adam' 'Brandon']	1	Brandon was weaker.	was weaker.	Adam defeated Brandon in a fight because	train
Lemuel painted Jim a piece of art since he requested it.	he	['Lemuel' 'Jim']	1	Jim requested it.	requested it.	Lemuel painted Jim a piece of art since	train
Lemuel painted Jim a piece of art since he knew how.	he	['Lemuel' 'Jim']	0	Lemuel knew how.	knew how.	Lemuel painted Jim a piece of art since	train
The dog hunted the fox because it was red.	it	['The dog' 'the fox']	1	the fox was red.	was red.	The dog hunted the fox because	train
The dog hunted the fox because it was hungry.	it	['The dog' 'the fox']	0	The dog was hungry.	was hungry.	The dog hunted the fox because	train
The Secretary and the President met about him being elected.	him	['The Secretary' 'the President']	1	the President being elected.	being elected.	The Secretary and the President met about	train
The Secretary and the President met about him being appointed.	him	['The Secretary' 'the President']	0	The Secretary being appointed.	being appointed.	The Secretary and the President met about	train
A monkey ate a lizard and it licked its lips.	it	['A monkey' 'a lizard']	0	A monkey licked its lips.	licked its lips.	A monkey ate a lizard and	train
A monkey ate a lizard and it screamed in pain.	it	['A monkey' 'a lizard']	1	a lizard screamed in pain.	screamed in pain.	A monkey ate a lizard and	train
Jim pooped on Jack and he vomited.	he	['Jack' 'Jim']	0	Jack vomited.	vomited.	Jim pooped on Jack and	train
Jim pooped on Jack and he laughed.	he	['Jack' 'Jim']	1	Jim laughed.	laughed.	Jim pooped on Jack and	train
The sheep chased the pig because it was fat.	it	['The sheep' 'the pig']	1	the pig was fat.	was fat.	The sheep chased the pig because	train
The sheep chased the pig because it was insulted.	it	['The sheep' 'the pig']	0	The sheep was insulted.	was insulted.	The sheep chased the pig because	train
The rock melted in the lava because it was pushed.	it	['The rock' 'the lava']	0	The rock was pushed.	was pushed.	The rock melted in the lava because	train
The rock melted in the lava because it was hot.	it	['The rock' 'the lava']	1	the lava was hot.	was hot.	The rock melted in the lava because	train
Jill loves Jamie and she does not feel the same way.	she	['Jill' 'Jamie']	1	Jamie does not feel the same way.	does not feel the same way.	Jill loves Jamie and	train
Jill loves Jamie and she bought her a ring.	she	['Jill' 'Jamie']	0	Jill bought her a ring.	bought her a ring.	Jill loves Jamie and	train
A dog chewed a bone and it barked.	it	['A dog' 'a bone']	0	A dog barked.	barked.	A dog chewed a bone and	train
A dog chewed a bone and it became wet.	it	['A dog' 'a bone']	1	a bone became wet.	became wet.	A dog chewed a bone and	train
The lion bit the gazelle because it had horns.	it	['The lion' 'the gazelle']	1	the gazelle had horns.	had horns.	The lion bit the gazelle because	train
The lion bit the gazelle because it had sharp teeth.	it	['The lion' 'the gazelle']	0	The lion had sharp teeth.	had sharp teeth.	The lion bit the gazelle because	train
John hit Carl and he did not like it.	he	['John' 'Carl']	1	Carl did not like it.	did not like it.	John hit Carl and	train
John hit Carl and he hit back.	he	['John' 'Carl']	0	John hit back.	hit back.	John hit Carl and	train
Katy cried for Susan since she was sad.	she	['Katy' 'Susan']	0	Katy was sad.	was sad.	Katy cried for Susan since	train
Katy cried for Susan since she died.	she	['Katy' 'Susan']	1	Susan died.	died.	Katy cried for Susan since	train
Taco needs hot sauce because it does not taste as good alone.	it	['Taco' 'hot sauce']	0	Taco does not taste as good alone.	does not taste as good alone.	Taco needs hot sauce because	train
Taco needs hot sauce because it improves the flavor.	it	['Taco' 'hot sauce']	1	hot sauce improves the flavor.	improves the flavor.	Taco needs hot sauce because	train
Tobias is upset with William because he would not pay.	he	['Tobias' 'William']	0	Tobias would not pay.	would not pay.	Tobias is upset with William because	train
Tobias is upset with William because he was mean.	he	['Tobias' 'William']	1	William was mean.	was mean.	Tobias is upset with William because	train
Jean is making fun of Kyle because he won.	he	['Jean' 'Kyle']	0	Jean won.	won.	Jean is making fun of Kyle because	train
Jean is making fun of Kyle because he lost.	he	['Jean' 'Kyle']	1	Kyle lost.	lost.	Jean is making fun of Kyle because	train
Cheesecake is better than fruitcake because it tastes better.	it	['Cheesecake' 'fruitcake']	0	Cheesecake tastes better.	tastes better.	Cheesecake is better than fruitcake because	train
Cheesecake is better than fruitcake because it is gross.	it	['Cheesecake' 'fruitcake']	1	fruitcake is gross.	is gross.	Cheesecake is better than fruitcake because	train
The townspeople ate the unicorns because they were hungry.	they	['The townspeople' 'the unicorns']	0	The townspeople were hungry.	were hungry.	The townspeople ate the unicorns because	train
The townspeople ate the unicorns because they were delicious.	they	['The townspeople' 'the unicorns']	1	the unicorns were delicious.	were delicious.	The townspeople ate the unicorns because	train
The separatists launched a surprise attack against the empire so they could turn the tide of battle.	they	['The separatists' 'the empire']	0	The separatists could turn the tide of battle.	could turn the tide of battle.	The separatists launched a surprise attack against the empire so	train
The separatists launched a surprise attack against the empire so they could be caught off guard.	they	['The separatists' 'the empire']	1	the empire could be caught off guard.	could be caught off guard.	The separatists launched a surprise attack against the empire so	train
Computers outsell laptops because they are more powerful.	they	['Computers' 'laptops']	0	Computers are more powerful.	are more powerful.	Computers outsell laptops because	train
Computers outsell laptops because they are not worth the money.	they	['Computers' 'laptops']	1	laptops are not worth the money.	are not worth the money.	Computers outsell laptops because	train
Pat tried to talk to Jill but she was ignored.	she	['Pat' 'Jill']	0	Pat was ignored.	was ignored.	Pat tried to talk to Jill but	train
Pat tried to talk to Jill but she did not seem to hear it.	she	['Pat' 'Jill']	1	Jill did not seem to hear it.	did not seem to hear it.	Pat tried to talk to Jill but	train
Gold is more popular than black because it is shiny.	it	['Gold' 'black']	0	Gold is shiny.	is shiny.	Gold is more popular than black because	train
Gold is more popular than black because it does not sparkle.	it	['Gold' 'black']	1	black does not sparkle.	does not sparkle.	Gold is more popular than black because	train
Jill outran Kate because she was faster.	she	['Jill' 'Kate']	0	Jill was faster.	was faster.	Jill outran Kate because	train
Jill outran Kate because she was slower.	she	['Jill' 'Kate']	1	Kate was slower.	was slower.	Jill outran Kate because	train
Tim gave Marlo a pat on the back because he looked sad.	he	['Tim' 'Marlo']	1	Marlo looked sad.	looked sad.	Tim gave Marlo a pat on the back because	train
Tim gave Marlo a pat on the back because he wanted to help.	he	['Tim' 'Marlo']	0	Tim wanted to help.	wanted to help.	Tim gave Marlo a pat on the back because	train
Mike tried to follow Tom but he could not keep up.	he	['Mike' 'Tom']	0	Mike could not keep up.	could not keep up.	Mike tried to follow Tom but	train
Mike tried to follow Tom but he was hard to see.	he	['Mike' 'Tom']	1	Tom was hard to see.	was hard to see.	Mike tried to follow Tom but	train
Coins are better than dollars because they weigh more.	they	['Coins' 'dollars']	0	Coins weigh more.	weigh more.	Coins are better than dollars because	train
Coins are better than dollars because they wrinkle too easily.	they	['Coins' 'dollars']	1	dollars wrinkle too easily.	wrinkle too easily.	Coins are better than dollars because	train
George talked to Bill because he was nervous.	he	['George' 'Bill']	0	George was nervous.	was nervous.	George talked to Bill because	train
George talked to Bill because he had experience.	he	['George' 'Bill']	1	Bill had experience.	had experience.	George talked to Bill because	train
Tom asked his son to drive so that he could sleep.	he	['Tom' 'his son']	0	Tom could sleep.	could sleep.	Tom asked his son to drive so that	train
Tom asked his son to drive so that he could get experience.	he	['Tom' 'his son']	1	his son could get experience.	could get experience.	Tom asked his son to drive so that	train
Rosie beat Mary in Scrabble because she had a good vocabulary.	she	['Rosie' 'Mary']	0	Rosie had a good vocabulary.	had a good vocabulary.	Rosie beat Mary in Scrabble because	train
Rosie beat Mary in Scrabble because she was bad at word games.	she	['Rosie' 'Mary']	1	Mary was bad at word games.	was bad at word games.	Rosie beat Mary in Scrabble because	train
Bush beat Gore because he rigged the election.	he	['Bush' 'Gore']	0	Bush rigged the election.	rigged the election.	Bush beat Gore because	train
Bush beat Gore because he was unpopular.	he	['Bush' 'Gore']	1	Gore was unpopular.	was unpopular.	Bush beat Gore because	train
The knife cut through the fence because it was sharp.	it	['The knife' 'the fence']	0	The knife was sharp.	was sharp.	The knife cut through the fence because	train
The knife cut through the fence because it was rusty.	it	['The knife' 'the fence']	1	the fence was rusty.	was rusty.	The knife cut through the fence because	train
Bob killed Vincent because he was stealing drugs.	he	['Bob' 'Vincent']	1	Vincent was stealing drugs.	was stealing drugs.	Bob killed Vincent because	train
Bob killed Vincent because he wanted to kill someone.	he	['Bob' 'Vincent']	0	Bob wanted to kill someone.	wanted to kill someone.	Bob killed Vincent because	train
Iphones are selling more than androids because they are trendy.	they	['Iphones' 'androids']	0	Iphones are trendy.	are trendy.	Iphones are selling more than androids because	train
Iphones are selling more than androids because they are hard to use.	they	['Iphones' 'androids']	1	androids are hard to use.	are hard to use.	Iphones are selling more than androids because	train
Apple defeated Microsoft in the war because they were creative.	they	['Apple' 'Microsoft']	0	Apple were creative.	were creative.	Apple defeated Microsoft in the war because	train
Apple defeated Microsoft in the war because they lack creativity.	they	['Apple' 'Microsoft']	1	Microsoft lack creativity.	lack creativity.	Apple defeated Microsoft in the war because	train
The University declared holiday to students because they were worried about them.	they	['The University' 'students']	0	The University were worried about them.	were worried about them.	The University declared holiday to students because	train
The University declared holiday to students because they requested them.	they	['The University' 'students']	1	students requested them.	requested them.	The University declared holiday to students because	train
Hill joined Obama because Bill suggested him.	him	['Hill' 'Obama']	0	Hill .	.	Hill joined Obama because Bill suggested	train
Hill joined Obama because Bill trusted him.	him	['Hill' 'Obama']	1	Obama .	.	Hill joined Obama because Bill trusted	train
Hitler conquered Alex in the war because everybody supported him.	him	['Hitler' 'Alex']	0	Hitler .	.	Hitler conquered Alex in the war because everybody supported	train
Hitler conquered Alex in the war because nobody supported him.	him	['Hitler' 'Alex']	1	Alex .	.	Hitler conquered Alex in the war because nobody supported	train
Rocky won the match with Richard because he worked hard.	he	['Rocky' 'Richard']	0	Rocky worked hard.	worked hard.	Rocky won the match with Richard because	train
Rocky won the match with Richard because he had no energy.	he	['Rocky' 'Richard']	1	Richard had no energy.	had no energy.	Rocky won the match with Richard because	train
Clinton wanted Obama to run for president because he would win.	he	['Clinton' 'Obama']	1	Obama would win.	would win.	Clinton wanted Obama to run for president because	train
Clinton wanted Obama to run for president because he could not win.	he	['Clinton' 'Obama']	0	Clinton could not win.	could not win.	Clinton wanted Obama to run for president because	train
Steve loved Bush but he did not tell.	he	['Steve' 'Bush']	0	Steve did not tell.	did not tell.	Steve loved Bush but	train
Steve loved Bush but he did not accept.	he	['Steve' 'Bush']	1	Bush did not accept.	did not accept.	Steve loved Bush but	train
Gates is richer than Jobs, so he does a lot more charity work.	he	['Gates' 'Jobs']	0	Gates does a lot more charity work.	does a lot more charity work.	Gates is richer than Jobs, so	train
Gates is richer than Jobs, so he is not richest person.	he	['Gates' 'Jobs']	1	Jobs is not richest person.	is not richest person.	Gates is richer than Jobs, so	train
Seth is smarter than Sai, and consequently he got a better job.	he	['Seth' 'Sai']	0	Seth got a better job.	got a better job.	Seth is smarter than Sai, and consequently	train
Seth is a smarter than Sai, and consequently he did worse in the job interview.	he	['Seth' 'Sai']	1	Sai did worse in the job interview.	did worse in the job interview.	Seth is a smarter than Sai, and consequently	train
Jacob misled Amen so David helped him.	him	['Jacob' 'Amen']	1	Amen .	.	Jacob misled Amen so David helped	train
Jacob misled Amen so David fired him.	him	['Jacob' 'Amen']	0	Jacob .	.	Jacob misled Amen so David fired	train
Right after work Angelina took Sandy to the park because she knew the place.	she	['Angelina' 'Sandy']	0	Angelina knew the place.	knew the place.	Right after work Angelina took Sandy to the park because	train
Right after work Angelina took Sandy to the park because she wanted to go to that place.	she	['Angelina' 'Sandy']	1	Sandy wanted to go to that place.	wanted to go to that place.	Right after work Angelina took Sandy to the park because	train
Claudia lost all her money to Valarie because she is really smart.	she	['Claudia' 'Valarie']	1	Valarie is really smart.	is really smart.	Claudia lost all her money to Valarie because	train
Claudia lost all her money to Valarie because she is stupid.	she	['Claudia' 'Valarie']	0	Claudia is stupid.	is stupid.	Claudia lost all her money to Valarie because	train
Mike helped Jack with his assignment because he felt like doing so.	he	['Mike' 'Jack']	0	Mike felt like doing so.	felt like doing so.	Mike helped Jack with his assignment because	train
Mike helped Jack with his assignment because he politely asked him to.	he	['Mike' 'Jack']	1	Jack politely asked him to.	politely asked him to.	Mike helped Jack with his assignment because	train
Dad yelled at Sam because he did not go to school.	he	['Dad' 'Sam']	1	Sam did not go to school.	did not go to school.	Dad yelled at Sam because	train
Dad yelled at Sam because he was mad.	he	['Dad' 'Sam']	0	Dad was mad.	was mad.	Dad yelled at Sam because	train
Janice bought Kenda a car because she needed one.	she	['Janice' 'Kenda']	1	Kenda needed one.	needed one.	Janice bought Kenda a car because	train
Janice bought Kenda a car because she has money to spend.	she	['Janice' 'Kenda']	0	Janice has money to spend.	has money to spend.	Janice bought Kenda a car because	train
The mouse ran from the cat all the way to the kitchen because it was scared.	it	['The mouse' 'the cat']	0	The mouse was scared.	was scared.	The mouse ran from the cat all the way to the kitchen because	train
The mouse ran from the cat all the way to the kitchen because it chased him.	it	['The mouse' 'the cat']	1	the cat chased him.	chased him.	The mouse ran from the cat all the way to the kitchen because	train
John picked Bill because he was in need of talent.	he	['John' 'Bill']	0	John was in need of talent.	was in need of talent.	John picked Bill because	train
John picked Bill because he was talented.	he	['John' 'Bill']	1	Bill was talented.	was talented.	John picked Bill because	train
John bored Bill because he was boring.	he	['John' 'Bill']	0	John was boring.	was boring.	John bored Bill because	train
John bored Bill because he was easily bored.	he	['John' 'Bill']	1	Bill was easily bored.	was easily bored.	John bored Bill because	train
John appreciated Bill because he had been in need.	he	['John' 'Bill']	0	John had been in need.	had been in need.	John appreciated Bill because	train
John ridiculed Bill because he was a big help.	he	['John' 'Bill']	1	Bill was a big help.	was a big help.	John ridiculed Bill because	train
John tricked Bill because he was mischievous.	he	['John' 'Bill']	0	John was mischievous.	was mischievous.	John tricked Bill because	train
John tricked Bill because he was slow-witted.	he	['John' 'Bill']	1	Bill was slow-witted.	was slow-witted.	John tricked Bill because	train
John nicked Bill because he needed money.	he	['John' 'Bill']	0	John needed money.	needed money.	John nicked Bill because	train
John nicked Bill because he was gullible.	he	['John' 'Bill']	1	Bill was gullible.	was gullible.	John nicked Bill because	train
John gave a large sum of money to Bill because he had extra.	he	['John' 'Bill']	0	John had extra.	had extra.	John gave a large sum of money to Bill because	train
John gave a large sum of money to Bill because he needed a loan.	he	['John' 'Bill']	1	Bill needed a loan.	needed a loan.	John gave a large sum of money to Bill because	train
John kicked Bill because he was angry.	he	['John' 'Bill']	0	John was angry.	was angry.	John kicked Bill because	train
John kicked Bill because he was being mean.	he	['John' 'Bill']	1	Bill was being mean.	was being mean.	John kicked Bill because	train
John remembered Bill because he had had been thinking about wicker chairs.	he	['John' 'Bill']	0	John had had been thinking about wicker chairs.	had had been thinking about wicker chairs.	John remembered Bill because	train
John remembered Bill because he was memorable.	he	['John' 'Bill']	1	Bill was memorable.	was memorable.	John remembered Bill because	train
The couple took the car to the shop on Tuesday, but they will not charge until next week.	they	['The couple' 'the shop']	1	the shop will not charge until next week.	will not charge until next week.	The couple took the car to the shop on Tuesday, but	train
The couple took the car to the shop on Tuesday, but they will not have to pay until next week.	they	['The couple' 'the shop']	0	The couple will not have to pay until next week.	will not have to pay until next week.	The couple took the car to the shop on Tuesday, but	train
Chuck Norris can beat any man in a fight, unless he is invincible.	he	['Chuck Norris' 'any man']	1	any man is invincible.	is invincible.	Chuck Norris can beat any man in a fight, unless	train
Chuck Norris can beat any man in a fight, unless he is tied up and blindfolded.	he	['Chuck Norris' 'any man']	0	Chuck Norris is tied up and blindfolded.	is tied up and blindfolded.	Chuck Norris can beat any man in a fight, unless	train
I think the referee treats Vick like a running back because he has distinct style of play.	he	['the referee' 'Vick']	1	Vick has distinct style of play.	has distinct style of play.	I think the referee treats Vick like a running back because	train
I think the referee treats Vick like a running back because he does not understand the game.	he	['the referee' 'Vick']	0	the referee does not understand the game.	does not understand the game.	I think the referee treats Vick like a running back because	train
The mouse sought out the wise owl's advice, and she promptly realized her mistake.	she	['The mouse' 'the wise owl']	0	The mouse promptly realized her mistake.	promptly realized her mistake.	The mouse sought out the wise owl's advice, and	train
The mouse sought out the wise owl's advice, and she promptly accepted the free meal.	she	['The mouse' 'the wise owl']	1	the wise owl promptly accepted the free meal.	promptly accepted the free meal.	The mouse sought out the wise owl's advice, and	train
The kidnapper will not return Trent Reznor until he is given a private performance.	he	['The kidnapper' 'Trent Reznor']	0	The kidnapper is given a private performance.	is given a private performance.	The kidnapper will not return Trent Reznor until	train
The kidnapper will not return Trent Reznor until he agrees to a private performance.	he	['The kidnapper' 'Trent Reznor']	1	Trent Reznor agrees to a private performance.	agrees to a private performance.	The kidnapper will not return Trent Reznor until	train
The authorities detained the hikers because they were trespassing.	they	['The authorities' 'the hikers']	1	the hikers were trespassing.	were trespassing.	The authorities detained the hikers because	train
The authorities detained the hikers because they were prejudiced.	they	['The authorities' 'the hikers']	0	The authorities were prejudiced.	were prejudiced.	The authorities detained the hikers because	train
Sarah tried to ignore the elephant in the room, but she could not bear the awkwardness.	she	['Sarah' 'the elephant in the room']	0	Sarah could not bear the awkwardness.	could not bear the awkwardness.	Sarah tried to ignore the elephant in the room, but	train
Sarah tried to ignore the elephant in the room, but she would not stop trumpeting.	she	['Sarah' 'the elephant in the room']	1	the elephant in the room would not stop trumpeting.	would not stop trumpeting.	Sarah tried to ignore the elephant in the room, but	train
Mark almost made a deal with Slimy Jack, but backed down when the man was caught embezzling.	the man	['Mark' 'Slimy Jack']	1	Slimy Jack was caught embezzling.	was caught embezzling.	Mark almost made a deal with Slimy Jack, but backed down when	train
Mark almost made a deal with Slimy Jack, but backed down when the man thought of his reputation for honesty.	the man	['Mark' 'Slimy Jack']	0	Mark thought of his reputation for honesty.	thought of his reputation for honesty.	Mark almost made a deal with Slimy Jack, but backed down when	train
The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the microchip processing facility.	they	['The robots' 'the squirrel-men']	1	the squirrelmen sabotaged the microchip processing facility.	sabotaged the microchip processing facility.	The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when	train
The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the acorn processing facility.	they	['The robots' 'the squirrel-men']	0	The robots sabotaged the acorn processing facility.	sabotaged the acorn processing facility.	The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when	train
Jesus appeared to Thomas in order to show that he had risen.	he	['Jesus' 'Thomas']	0	Jesus had risen.	had risen.	Jesus appeared to Thomas in order to show that	train
Jesus appeared to Thomas in order to show that he had unfounded doubts.	he	['Jesus' 'Thomas']	1	Thomas had unfounded doubts.	had unfounded doubts.	Jesus appeared to Thomas in order to show that	train
The employees crushed the boxes because they were working.	they	['The employees' 'the boxes']	0	The employees were working.	were working.	The employees crushed the boxes because	train
The employees crushed the boxes because they were empty.	they	['The employees' 'the boxes']	1	the boxes were empty.	were empty.	The employees crushed the boxes because	train
The wine busted the cask because it was too small.	it	['The wine' 'the cask']	1	the cask was too small.	was too small.	The wine busted the cask because	train
The wine busted the cask because it was too carbonated.	it	['The wine' 'the cask']	0	The wine was too carbonated.	was too carbonated.	The wine busted the cask because	train
Tom gave James a coat because he was cold.	he	['Tom' 'James']	1	James was cold.	was cold.	Tom gave James a coat because	train
Tom gave James a coat because he was generous.	he	['Tom' 'James']	0	Tom was generous.	was generous.	Tom gave James a coat because	train
The veterans defeated the newcomers because they were more experienced.	they	['The veterans' 'the newcomers']	0	The veterans were more experienced.	were more experienced.	The veterans defeated the newcomers because	train
The veterans defeated the newcomers because they were less experienced.	they	['The veterans' 'the newcomers']	1	the newcomers were less experienced.	were less experienced.	The veterans defeated the newcomers because	train
The sailors fell off the boats because they were capsizing.	they	['The sailors' 'the boats']	1	the boats were capsizing.	were capsizing.	The sailors fell off the boats because	train
The sailors fell off the boats because they were drunk.	they	['The sailors' 'the boats']	0	The sailors were drunk.	were drunk.	The sailors fell off the boats because	train
The children played games because they were bored.	they	['The children' 'games']	0	The children were bored.	were bored.	The children played games because	train
The children played games because they were entertaining.	they	['The children' 'games']	1	games were entertaining.	were entertaining.	The children played games because	train
John fired Dave because he had too many absences.	he	['John' 'Dave']	1	Dave had too many absences.	had too many absences.	John fired Dave because	train
John fired Dave because he had too many employees.	he	['John' 'Dave']	0	John had too many employees.	had too many employees.	John fired Dave because	train
The police arrested the rioters because they were preventing trouble.	they	['The police' 'the rioters']	0	The police were preventing trouble.	were preventing trouble.	The police arrested the rioters because	train
The police arrested the rioters because they were causing trouble.	they	['The police' 'the rioters']	1	the rioters were causing trouble.	were causing trouble.	The police arrested the rioters because	train
The students read the books because they were learning.	they	['The students' 'the books']	0	The students were learning.	were learning.	The students read the books because	train
The students read the books because they were interesting.	they	['The students' 'the books']	1	the books were interesting.	were interesting.	The students read the books because	train
The lumberjacks cut the trees so they could be paid.	they	['The lumberjacks' 'the trees']	0	The lumberjacks could be paid.	could be paid.	The lumberjacks cut the trees so	train
The lumberjacks cut the trees so they could be sold.	they	['The lumberjacks' 'the trees']	1	the trees could be sold.	could be sold.	The lumberjacks cut the trees so	train
The Centurion lent Doctor Who his ear since he had pledged his loyalty.	he	['The Centurion' 'Doctor Who']	0	The Centurion had pledged his loyalty.	had pledged his loyalty.	The Centurion lent Doctor Who his ear since	train
The Centurion lent Doctor Who his ear since he had saved the Centurion's life.	he	['The Centurion' 'Doctor Who']	1	Doctor Who had saved the Centurion's life.	had saved the Centurion's life.	The Centurion lent Doctor Who his ear since	train
Tom likes John because he has a cool name.	he	['Tom' 'John']	1	John has a cool name.	has a cool name.	Tom likes John because	train
Tom likes John because he likes people with cool names.	he	['Tom' 'John']	0	Tom likes people with cool names.	likes people with cool names.	Tom likes John because	train
The listener did not complain about the singer because he was autotuned.	he	['The listener' 'the singer']	1	the singer was autotuned.	was autotuned.	The listener did not complain about the singer because	train
The listener did not complain about the singer because he was tone deaf.	he	['The listener' 'the singer']	0	The listener was tone deaf.	was tone deaf.	The listener did not complain about the singer because	train
The musicians performed at two venues because neither of them paid much.	them	['The musicians' 'two venues']	1	two venues paid much.	paid much.	The musicians performed at two venues because neither of	train
The musicians performed at two venues because neither of them got paid much.	them	['The musicians' 'two venues']	0	The musicians got paid much.	got paid much.	The musicians performed at two venues because neither of	train
The product fair showed Office 365, and it had a lot of attendees.	it	['The product fair' 'Office 365']	0	The product fair had a lot of attendees.	had a lot of attendees.	The product fair showed Office 365, and	train
The product fair showed Office 365, and it showed off with a game.	it	['The product fair' 'Office 365']	1	Office 365 showed off with a game.	showed off with a game.	The product fair showed Office 365, and	train
Stephen King called Spielberg so that he could ask for some money.	he	['Stephen King' 'Spielberg']	0	Stephen King could ask for some money.	could ask for some money.	Stephen King called Spielberg so that	train
Stephen King called Spielberg so that he could call him back.	he	['Stephen King' 'Spielberg']	1	Spielberg could call him back.	could call him back.	Stephen King called Spielberg so that	train
Lions love gazelles because they eat them.	they	['Lions' 'gazelles']	0	Lions eat them.	eat them.	Lions love gazelles because	train
Lions love gazelles because they are delicious.	they	['Lions' 'gazelles']	1	gazelles are delicious.	are delicious.	Lions love gazelles because	train
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he retired.	he	['Steve Ballmer' 'Bill Gates']	1	Bill Gates retired.	retired.	Steve Ballmer took over as CEO of Microsoft after Bill Gates because	train
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he was a unicorn.	he	['Steve Ballmer' 'Bill Gates']	0	Steve Ballmer was a unicorn.	was a unicorn.	Steve Ballmer took over as CEO of Microsoft after Bill Gates because	train
Windows is worse than Linux because it has a lot of viruses.	it	['Windows' 'Linux']	0	Windows has a lot of viruses.	has a lot of viruses.	Windows is worse than Linux because	train
Windows is worse than Linux because it is open source.	it	['Windows' 'Linux']	1	Linux is open source.	is open source.	Windows is worse than Linux because	train
The boy lent his friend a pencil because the teacher told him to share.	him	['The boy' 'his friend']	0	The boy to share.	to share.	The boy lent his friend a pencil because the teacher told	train
The boy lent his friend a pencil because the teacher told him to write.	him	['The boy' 'his friend']	1	his friend to write.	to write.	The boy lent his friend a pencil because the teacher told	train
God created Adam for good but he could not control his creation.	he	['God' 'Adam']	0	God could not control his creation.	could not control his creation.	God created Adam for good but	train
God created Adam for good but he could not control his temptation.	he	['God' 'Adam']	1	Adam could not control his temptation.	could not control his temptation.	God created Adam for good but	train
The boy laughed at his friend because he heard the joke.	he	['The boy' 'his friend']	0	The boy heard the joke.	heard the joke.	The boy laughed at his friend because	train
The boy laughed at his friend because he made the joke.	he	['The boy' 'his friend']	1	his friend made the joke.	made the joke.	The boy laughed at his friend because	train
The cops maced the protesters because they blindly follow orders.	they	['The cops' 'the protesters']	0	The cops blindly follow orders.	blindly follow orders.	The cops maced the protesters because	train
The cops maced the protesters because they do not blindly follow orders.	they	['The cops' 'the protesters']	1	the protesters do not blindly follow orders.	do not blindly follow orders.	The cops maced the protesters because	train
The boulder dropped into the river, but it continued to roll.	it	['The boulder' 'the river']	0	The boulder continued to roll.	continued to roll.	The boulder dropped into the river, but	train
The boulder dropped into the river, but it continued to flow.	it	['The boulder' 'the river']	1	the river continued to flow.	continued to flow.	The boulder dropped into the river, but	train
The gun owner fired at the burglar because he stole items.	he	['The gun owner' 'the burglar']	1	the burglar stole items.	stole items.	The gun owner fired at the burglar because	train
The gun owner fired at the burglar because he saw a shadow.	he	['The gun owner' 'the burglar']	0	The gun owner saw a shadow.	saw a shadow.	The gun owner fired at the burglar because	train
Jerrica saw the guard as she snuck past.	she	['Jerrica' 'the guard']	0	Jerrica snuck past.	snuck past.	Jerrica saw the guard as	train
Jerrica saw the guard as she marched past.	she	['Jerrica' 'the guard']	1	the guard marched past.	marched past.	Jerrica saw the guard as	train
The home team lost to the Giants because they were better players.	they	['The home team' 'the Giants']	1	the Giants were better players.	were better players.	The home team lost to the Giants because	train
The home team lost to the Giants because they were unable to pass.	they	['The home team' 'the Giants']	0	The home team were unable to pass.	were unable to pass.	The home team lost to the Giants because	train
